cuenta_id,fecha,saldo_cierre,ingresos_dia,egresos_dia,moneda
CUENTA-001,2026-02-24,254544.34,19738.5,15194.16,PEN
CUENTA-001,2026-02-25,255123.13,17516.07,16937.29,PEN
CUENTA-001,2026-02-26,261794.15,20266.91,13595.89,PEN
CUENTA-001,2026-02-27,270780.07,23330.6,14344.68,PEN
CUENTA-001,2026-02-28,273744.75,17180.46,14215.78,PEN
CUENTA-001,2026-03-01,278852.3,17180.52,12072.97,PEN
CUENTA-001,2026-03-02,286787.31,23527.24,15592.24,PEN
CUENTA-001,2026-03-03,291951.22,20686.02,15522.11,PEN
CUENTA-001,2026-03-04,293297.83,16356.84,15010.23,PEN
CUENTA-001,2026-03-05,298665.97,19898.96,14530.83,PEN
CUENTA-001,2026-03-06,302874.75,16378.04,12169.26,PEN
CUENTA-001,2026-03-07,305085.98,16369.95,14158.71,PEN
CUENTA-001,2026-03-08,309618.28,18846.87,14314.57,PEN
CUENTA-001,2026-03-09,307526.35,11303.52,13395.45,PEN
CUENTA-001,2026-03-10,304811.71,11962.79,14677.43,PEN
CUENTA-001,2026-03-11,305035.6,16031.99,15808.1,PEN
CUENTA-001,2026-03-12,300718.32,14455.09,18772.37,PEN
CUENTA-001,2026-03-13,304469.03,19099.87,15349.16,PEN
CUENTA-001,2026-03-14,303775.85,14821.92,15515.1,PEN
CUENTA-001,2026-03-15,301981.68,13056.94,14851.11,PEN
CUENTA-001,2026-03-16,313948.99,23129.77,11162.46,PEN
CUENTA-001,2026-03-17,316211.8,17209.78,14946.97,PEN
CUENTA-001,2026-03-18,319327.69,18236.35,15120.46,PEN
CUENTA-001,2026-03-19,312414.59,13013.38,19926.48,PEN
CUENTA-001,2026-03-20,313893.97,16094.66,14615.28,PEN
CUENTA-001,2026-03-21,316679.1,18388.23,15603.09,PEN
CUENTA-001,2026-03-22,315720.05,13971.52,14930.58,PEN
CUENTA-001,2026-03-23,322372.35,19314.94,12662.64,PEN
CUENTA-001,2026-03-24,320984.47,15897.76,17285.65,PEN
CUENTA-001,2026-03-25,321459.67,16979.07,16503.87,PEN
CUENTA-001,2026-03-26,320771.64,15894.03,16582.06,PEN
CUENTA-001,2026-03-27,332073.39,24482.97,13181.23,PEN
CUENTA-001,2026-03-28,332220.56,17952.76,17805.59,PEN
CUENTA-001,2026-03-29,334322.27,14298.01,12196.3,PEN
CUENTA-001,2026-03-30,339027.46,20878.91,16173.71,PEN
CUENTA-001,2026-03-31,333373.6,13727.05,19380.91,PEN
CUENTA-001,2026-04-01,339085.69,18731.02,13018.93,PEN
CUENTA-001,2026-04-02,336359.44,11141.15,13867.4,PEN
CUENTA-001,2026-04-03,334511.49,13351.35,15199.3,PEN
CUENTA-001,2026-04-04,339207.46,18689.01,13993.05,PEN
CUENTA-001,2026-04-05,347893.42,20584.63,11898.67,PEN
CUENTA-001,2026-04-06,351356.08,18599.79,15137.13,PEN
CUENTA-001,2026-04-07,356075.92,17595.23,12875.39,PEN
CUENTA-001,2026-04-08,357074.87,16946.14,15947.18,PEN
CUENTA-001,2026-04-09,356738.89,12825.17,13161.15,PEN
CUENTA-001,2026-04-10,354119.57,15480.55,18099.87,PEN
CUENTA-001,2026-04-11,357073.84,16387.76,13433.49,PEN
CUENTA-001,2026-04-12,364417.89,21699.93,14355.88,PEN
CUENTA-001,2026-04-13,366993.52,19202.66,16627.03,PEN
CUENTA-001,2026-04-14,366284.61,11829.36,12538.27,PEN
CUENTA-001,2026-04-15,369963.98,19134.29,15454.92,PEN
CUENTA-001,2026-04-16,369001.91,16652.21,17614.29,PEN
CUENTA-001,2026-04-17,372847.65,15630.77,11785.03,PEN
CUENTA-001,2026-04-18,377619.25,20140.87,15369.27,PEN
CUENTA-001,2026-04-19,383707.98,21608.5,15519.77,PEN
CUENTA-001,2026-04-20,388403.81,21259.48,16563.65,PEN
CUENTA-001,2026-04-21,390940.45,15062.74,12526.1,PEN
CUENTA-001,2026-04-22,395499.12,16917.76,12359.09,PEN
CUENTA-001,2026-04-23,398614.66,19159.42,16043.88,PEN
CUENTA-001,2026-04-24,404435.1,21414.41,15593.97,PEN
CUENTA-001,2026-04-25,392856.22,16322.89,27901.77,PEN
CUENTA-001,2026-04-26,381959.2,17350.19,28247.21,PEN
CUENTA-001,2026-04-27,371535.11,14127.83,24551.91,PEN
CUENTA-001,2026-04-28,357512.28,13813.28,27836.11,PEN
CUENTA-001,2026-04-29,350301.06,20843.84,28055.06,PEN
CUENTA-001,2026-04-30,348619.56,22746.84,24428.33,PEN
CUENTA-001,2026-05-01,332650.74,17747.96,33716.79,PEN
CUENTA-001,2026-05-02,325457.3,21512.37,28705.8,PEN
CUENTA-001,2026-05-03,322011.72,19265.73,22711.31,PEN
CUENTA-001,2026-05-04,308390.21,15742.08,29363.59,PEN
CUENTA-001,2026-05-05,314604.46,19264.88,13050.64,PEN
CUENTA-001,2026-05-06,321413.42,23383.13,16574.17,PEN
CUENTA-001,2026-05-07,321970.84,17874.61,17317.19,PEN
CUENTA-001,2026-05-08,332088.45,23476.25,13358.64,PEN
CUENTA-001,2026-05-09,323992.59,8830.89,16926.75,PEN
CUENTA-001,2026-05-10,329043.69,20876.66,15825.56,PEN
CUENTA-001,2026-05-11,330704.23,18304.66,16644.12,PEN
CUENTA-001,2026-05-12,328864.12,16953.47,18793.59,PEN
CUENTA-001,2026-05-13,332676.06,18321.16,14509.22,PEN
CUENTA-001,2026-05-14,330227.04,11043.51,13492.53,PEN
CUENTA-001,2026-05-15,334237.22,17231.15,13220.97,PEN
CUENTA-001,2026-05-16,340118.73,19249.89,13368.38,PEN
CUENTA-001,2026-05-17,348445.57,23172.63,14845.8,PEN
CUENTA-001,2026-05-18,348949.32,16186.05,15682.3,PEN
CUENTA-001,2026-05-19,348566.21,15170.27,15553.38,PEN
CUENTA-001,2026-05-20,348155.69,16243.85,16654.37,PEN
CUENTA-001,2026-05-21,354333.6,21203.91,15026.0,PEN
CUENTA-001,2026-05-22,355577.16,19150.63,17907.07,PEN
CUENTA-001,2026-05-23,357252.31,16145.84,14470.69,PEN
CUENTA-001,2026-05-24,356608.41,19796.44,20440.34,PEN
CUENTA-002,2026-02-24,81674.2,3312.83,1638.63,PEN
CUENTA-002,2026-02-25,82685.91,2571.42,1559.72,PEN
CUENTA-002,2026-02-26,83830.52,2464.55,1319.93,PEN
CUENTA-002,2026-02-27,85550.82,3241.24,1520.94,PEN
CUENTA-002,2026-02-28,87054.68,2888.27,1384.41,PEN
CUENTA-002,2026-03-01,88877.63,3357.0,1534.06,PEN
CUENTA-002,2026-03-02,90415.61,3236.62,1698.64,PEN
CUENTA-002,2026-03-03,91403.39,2963.59,1975.81,PEN
CUENTA-002,2026-03-04,92851.34,2576.6,1128.66,PEN
CUENTA-002,2026-03-05,92954.0,2242.58,2139.91,PEN
CUENTA-002,2026-03-06,94816.37,2776.74,914.37,PEN
CUENTA-002,2026-03-07,96790.11,3428.2,1454.46,PEN
CUENTA-002,2026-03-08,98220.66,3107.05,1676.5,PEN
CUENTA-002,2026-03-09,99013.49,2377.13,1584.3,PEN
CUENTA-002,2026-03-10,100786.89,3086.59,1313.19,PEN
CUENTA-002,2026-03-11,102541.99,3192.66,1437.56,PEN
CUENTA-002,2026-03-12,103747.96,2558.07,1352.1,PEN
CUENTA-002,2026-03-13,105501.63,3076.86,1323.19,PEN
CUENTA-002,2026-03-14,151099.67,47352.92,1754.88,PEN
CUENTA-002,2026-03-15,114723.52,2428.51,38804.66,PEN
CUENTA-002,2026-03-16,116610.29,3178.89,1292.13,PEN
CUENTA-002,2026-03-17,118120.8,3280.39,1769.88,PEN
CUENTA-002,2026-03-18,120070.14,3541.53,1592.19,PEN
CUENTA-002,2026-03-19,121853.18,3526.9,1743.86,PEN
CUENTA-002,2026-03-20,122475.46,2311.17,1688.89,PEN
CUENTA-002,2026-03-21,123755.24,2531.09,1251.3,PEN
CUENTA-002,2026-03-22,125680.82,3257.52,1331.95,PEN
CUENTA-002,2026-03-23,127213.52,3256.89,1724.19,PEN
CUENTA-002,2026-03-24,128787.93,3257.52,1683.11,PEN
CUENTA-002,2026-03-25,132220.57,4926.37,1493.73,PEN
CUENTA-002,2026-03-26,133970.82,3285.45,1535.2,PEN
CUENTA-002,2026-03-27,135655.3,3567.78,1883.3,PEN
CUENTA-002,2026-03-28,137809.77,3477.0,1322.53,PEN
CUENTA-002,2026-03-29,175163.75,39018.11,1664.13,PEN
CUENTA-002,2026-03-30,138118.59,2842.37,39887.53,PEN
CUENTA-002,2026-03-31,140063.38,3379.48,1434.7,PEN
CUENTA-002,2026-04-01,140847.33,2613.59,1829.63,PEN
CUENTA-002,2026-04-02,141981.3,2881.59,1747.62,PEN
CUENTA-002,2026-04-03,142994.57,2757.32,1744.05,PEN
CUENTA-002,2026-04-04,144143.86,3040.94,1891.64,PEN
CUENTA-002,2026-04-05,146794.89,4157.33,1506.3,PEN
CUENTA-002,2026-04-06,147156.67,2066.37,1704.59,PEN
CUENTA-002,2026-04-07,149092.88,3343.13,1406.92,PEN
CUENTA-002,2026-04-08,149689.27,2193.64,1597.25,PEN
CUENTA-002,2026-04-09,150992.35,2764.03,1460.96,PEN
CUENTA-002,2026-04-10,153007.72,3544.48,1529.1,PEN
CUENTA-002,2026-04-11,154361.32,3032.14,1678.55,PEN
CUENTA-002,2026-04-12,155567.91,2461.13,1254.53,PEN
CUENTA-002,2026-04-13,156082.54,2642.35,2127.72,PEN
CUENTA-002,2026-04-14,201713.64,46829.29,1198.19,PEN
CUENTA-002,2026-04-15,165187.53,2634.82,39160.93,PEN
CUENTA-002,2026-04-16,166448.32,3108.23,1847.43,PEN
CUENTA-002,2026-04-17,167733.61,3022.79,1737.5,PEN
CUENTA-002,2026-04-18,168720.57,2674.2,1687.24,PEN
CUENTA-002,2026-04-19,171104.04,4071.97,1688.5,PEN
CUENTA-002,2026-04-20,172924.68,3316.96,1496.33,PEN
CUENTA-002,2026-04-21,173681.28,1987.43,1230.82,PEN
CUENTA-002,2026-04-22,175251.77,3093.23,1522.74,PEN
CUENTA-002,2026-04-23,176624.02,2669.11,1296.85,PEN
CUENTA-002,2026-04-24,178257.7,3426.22,1792.54,PEN
CUENTA-002,2026-04-25,179405.56,2603.74,1455.88,PEN
CUENTA-002,2026-04-26,181095.84,2942.63,1252.35,PEN
CUENTA-002,2026-04-27,182944.75,3252.49,1403.58,PEN
CUENTA-002,2026-04-28,184753.75,3432.88,1623.88,PEN
CUENTA-002,2026-04-29,225853.42,42430.55,1330.88,PEN
CUENTA-002,2026-04-30,189237.48,2832.75,39448.69,PEN
CUENTA-002,2026-05-01,190426.9,2762.53,1573.11,PEN
CUENTA-002,2026-05-02,191526.75,2673.34,1573.49,PEN
CUENTA-002,2026-05-03,194061.56,3882.73,1347.92,PEN
CUENTA-002,2026-05-04,195905.36,3202.49,1358.69,PEN
CUENTA-002,2026-05-05,196705.3,2369.56,1569.61,PEN
CUENTA-002,2026-05-06,199098.66,3458.93,1065.57,PEN
CUENTA-002,2026-05-07,202081.98,4061.08,1077.76,PEN
CUENTA-002,2026-05-08,204313.74,3516.23,1284.47,PEN
CUENTA-002,2026-05-09,205118.09,2240.32,1435.97,PEN
CUENTA-002,2026-05-10,206282.7,2757.88,1593.27,PEN
CUENTA-002,2026-05-11,207973.55,3633.46,1942.61,PEN
CUENTA-002,2026-05-12,208862.42,2646.17,1757.3,PEN
CUENTA-002,2026-05-13,210632.31,3221.91,1452.02,PEN
CUENTA-002,2026-05-14,249580.8,40442.79,1494.3,PEN
CUENTA-002,2026-05-15,214464.12,2536.53,37653.22,PEN
CUENTA-002,2026-05-16,215939.91,2970.24,1494.45,PEN
CUENTA-002,2026-05-17,215905.87,1379.37,1413.4,PEN
CUENTA-002,2026-05-18,216796.86,2487.81,1596.82,PEN
CUENTA-002,2026-05-19,218418.75,2873.72,1251.83,PEN
CUENTA-002,2026-05-20,219139.05,2376.11,1655.8,PEN
CUENTA-002,2026-05-21,220995.44,3816.21,1959.82,PEN
CUENTA-002,2026-05-22,221812.99,2284.93,1467.37,PEN
CUENTA-002,2026-05-23,222972.46,2779.98,1620.51,PEN
CUENTA-002,2026-05-24,224330.79,3065.37,1707.04,PEN
CUENTA-003,2026-02-24,18473.06,4973.06,1500.0,USD
CUENTA-003,2026-02-25,20544.81,2071.75,0.0,USD
CUENTA-003,2026-02-26,22695.05,2150.24,0.0,USD
CUENTA-003,2026-02-27,24702.46,2007.41,0.0,USD
CUENTA-003,2026-02-28,24865.32,162.86,0.0,USD
CUENTA-003,2026-03-01,26727.31,1861.99,0.0,USD
CUENTA-003,2026-03-02,28556.97,1829.66,0.0,USD
CUENTA-003,2026-03-03,32051.42,4994.45,1500.0,USD
CUENTA-003,2026-03-04,32089.82,38.41,0.0,USD
CUENTA-003,2026-03-05,32089.82,0.0,0.0,USD
CUENTA-003,2026-03-06,36883.08,4793.26,0.0,USD
CUENTA-003,2026-03-07,40374.17,3491.09,0.0,USD
CUENTA-003,2026-03-08,40374.17,0.0,0.0,USD
CUENTA-003,2026-03-09,42441.13,2066.97,0.0,USD
CUENTA-003,2026-03-10,42477.79,36.66,0.0,USD
CUENTA-003,2026-03-11,42477.79,0.0,0.0,USD
CUENTA-003,2026-03-12,42477.79,0.0,0.0,USD
CUENTA-003,2026-03-13,38477.79,0.0,4000.0,USD
CUENTA-003,2026-03-14,40471.53,1993.73,0.0,USD
CUENTA-003,2026-03-15,38067.04,95.51,2500.0,USD
CUENTA-003,2026-03-16,42968.47,4901.43,0.0,USD
CUENTA-003,2026-03-17,46518.87,5050.4,1500.0,USD
CUENTA-003,2026-03-18,46965.85,1946.97,1500.0,USD
CUENTA-003,2026-03-19,48886.56,1920.71,0.0,USD
CUENTA-003,2026-03-20,48886.56,0.0,0.0,USD
CUENTA-003,2026-03-21,52283.04,3396.48,0.0,USD
CUENTA-003,2026-03-22,54227.67,1944.64,0.0,USD
CUENTA-003,2026-03-23,51727.67,0.0,2500.0,USD
CUENTA-003,2026-03-24,54424.14,5196.47,2500.0,USD
CUENTA-003,2026-03-25,53927.67,3503.53,4000.0,USD
CUENTA-003,2026-03-26,58857.7,4930.03,0.0,USD
CUENTA-003,2026-03-27,60879.1,3521.4,1500.0,USD
CUENTA-003,2026-03-28,60367.86,1988.77,2500.0,USD
CUENTA-003,2026-03-29,60367.86,0.0,0.0,USD
CUENTA-003,2026-03-30,65429.28,5061.42,0.0,USD
CUENTA-003,2026-03-31,67505.03,3575.75,1500.0,USD
CUENTA-003,2026-04-01,67505.03,0.0,0.0,USD
CUENTA-003,2026-04-02,65005.03,0.0,2500.0,USD
CUENTA-003,2026-04-03,65005.03,0.0,0.0,USD
CUENTA-003,2026-04-04,66774.84,3269.81,1500.0,USD
CUENTA-003,2026-04-05,71623.32,4848.48,0.0,USD
CUENTA-003,2026-04-06,71760.01,136.69,0.0,USD
CUENTA-003,2026-04-07,73924.5,2164.5,0.0,USD
CUENTA-003,2026-04-08,71424.5,0.0,2500.0,USD
CUENTA-003,2026-04-09,74982.16,5057.66,1500.0,USD
CUENTA-003,2026-04-10,78513.28,3531.13,0.0,USD
CUENTA-003,2026-04-11,82321.17,3807.89,0.0,USD
CUENTA-003,2026-04-12,79933.13,111.96,2500.0,USD
CUENTA-003,2026-04-13,79933.13,0.0,0.0,USD
CUENTA-003,2026-04-14,77433.13,0.0,2500.0,USD
CUENTA-003,2026-04-15,77433.13,0.0,0.0,USD
CUENTA-003,2026-04-16,80953.48,3520.35,0.0,USD
CUENTA-003,2026-04-17,84377.84,3424.36,0.0,USD
CUENTA-003,2026-04-18,89235.61,4857.77,0.0,USD
CUENTA-003,2026-04-19,92670.96,4935.34,1500.0,USD
CUENTA-003,2026-04-20,94562.8,1891.85,0.0,USD
CUENTA-003,2026-04-21,98231.52,3668.71,0.0,USD
CUENTA-003,2026-04-22,100819.68,5088.16,2500.0,USD
CUENTA-003,2026-04-23,104318.88,3499.2,0.0,USD
CUENTA-003,2026-04-24,104466.88,147.99,0.0,USD
CUENTA-003,2026-04-25,101974.61,7.74,2500.0,USD
CUENTA-003,2026-04-26,100474.61,0.0,1500.0,USD
CUENTA-003,2026-04-27,105626.93,5152.31,0.0,USD
CUENTA-003,2026-04-28,105180.82,2053.89,2500.0,USD
CUENTA-003,2026-04-29,103680.82,0.0,1500.0,USD
CUENTA-003,2026-04-30,105661.78,1980.97,0.0,USD
CUENTA-003,2026-05-01,107574.22,1912.44,0.0,USD
CUENTA-003,2026-05-02,106074.22,0.0,1500.0,USD
CUENTA-003,2026-05-03,104666.84,92.62,1500.0,USD
CUENTA-003,2026-05-04,106857.78,2190.94,0.0,USD
CUENTA-003,2026-05-05,106217.93,1860.14,2500.0,USD
CUENTA-003,2026-05-06,108274.22,3556.3,1500.0,USD
CUENTA-003,2026-05-07,110209.16,1934.94,0.0,USD
CUENTA-003,2026-05-08,113660.45,3451.29,0.0,USD
CUENTA-003,2026-05-09,115601.21,1940.76,0.0,USD
CUENTA-003,2026-05-10,116014.81,1913.6,1500.0,USD
CUENTA-003,2026-05-11,119519.66,3504.85,0.0,USD
CUENTA-003,2026-05-12,119519.66,0.0,0.0,USD
CUENTA-003,2026-05-13,118046.7,27.05,1500.0,USD
CUENTA-003,2026-05-14,115546.7,0.0,2500.0,USD
CUENTA-003,2026-05-15,119022.81,3476.11,0.0,USD
CUENTA-003,2026-05-16,118432.05,1909.24,2500.0,USD
CUENTA-003,2026-05-17,121874.38,3442.32,0.0,USD
CUENTA-003,2026-05-18,119449.92,75.54,2500.0,USD
CUENTA-003,2026-05-19,119500.01,50.09,0.0,USD
CUENTA-003,2026-05-20,119500.01,0.0,0.0,USD
CUENTA-003,2026-05-21,118009.94,9.93,1500.0,USD
CUENTA-003,2026-05-22,120085.08,2075.14,0.0,USD
